PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,SAMPLE_TYPE,TAXA_ID,TARGET_TAXON,ALGAL_GROUP,ABUNDANCE,BIOVOLUME,DENSITY,IS_DISTINCT
1/10/2025,2020597,NLA_NV-10178,NLA22_NV-10025,6/23/2022,2,NV,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,41.46,1,1
1/10/2025,2020775,NLA_MI-10279,NLA22_MI-10133,7/12/2022,1,MI,PHYX,4008,ACHNANTHIDIUM,DIATOM,32,18331.25,217,1
1/10/2025,2020619,NLA_OK-10180,NLA22_OK-10069,6/27/2022,1,OK,PHYX,4008,ACHNANTHIDIUM,DIATOM,3,766.12,15,1
1/10/2025,2021158,NLA_OR-10306,NLA22_OR-10179,8/4/2022,1,OR,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,323.83,9,1
1/10/2025,2020985,NLA_OK-10252,NLA22_OK-10120,7/25/2022,1,OK,PHYX,4008,ACHNANTHIDIUM,DIATOM,3,1960.26,48,1
1/10/2025,2020469,NLA_GA-10051,NLA22_GA-10003,6/16/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,1202.52,9,1
1/10/2025,2020374,NLA_AZ-10117,NLA22_AZ-10026,6/9/2022,2,AZ,PHYX,4008,ACHNANTHIDIUM,DIATOM,4,15867.84,165,1
1/10/2025,2021768,NLA_KS-10170,NLA22_KS-10094,9/14/2022,1,KS,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,978.64,47,1
1/10/2025,2021465,NLA_WI-10255,NLA22_WI-10130,8/11/2022,1,WI,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,42.96,2,1
1/10/2025,2020599,NLA_CO-10098,NLA22_CO-10036,6/24/2022,1,CO,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,265.1,3,1
1/10/2025,2020840,NLA_AL-10065,NLA22_AL-10011,7/14/2022,1,AL,PHYX,4008,ACHNANTHIDIUM,DIATOM,5,29610.87,193,1
1/10/2025,2021539,NLA_ME-10024,NES22-10005,8/18/2022,1,ME,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,86.76,4,1
1/10/2025,2020570,NLA_FL-10015,NES22-10036,6/23/2022,1,FL,PHYX,4008,ACHNANTHIDIUM,DIATOM,16,25267.94,402,1
1/10/2025,2020262,NLA_NM-10094,NLA22_NM-10015,5/24/2022,1,NM,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,197.82,2,1
1/10/2025,2020325,NLA_IA-10036,NES22-10147,6/7/2022,1,IA,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,54.06,1,1
1/10/2025,2020861,NLA_KS-10098,NLA22_KS-10035,7/18/2022,1,KS,PHYX,4008,ACHNANTHIDIUM,DIATOM,17,22127.49,392,1
1/10/2025,2020925,NLA_VT-10047,NLA22_VT-10007,7/27/2022,1,VT,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,450.12,10,1
1/10/2025,2020610,NLA_IN-10273,NLA22_IN-10014,7/19/2022,1,IN,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,209.28,8,1
1/10/2025,2021510,NLA_GA-10131,NLA22_GA-10081,8/17/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,1575.58,52,1
1/10/2025,2020759,NLA_AL-10063,NLA22_AL-10009,7/11/2022,1,AL,PHYX,4008,ACHNANTHIDIUM,DIATOM,15,16035.34,425,1
1/10/2025,2021541,NLA_OH-10068,NLA22_OH-10004,8/19/2022,2,OH,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,114829.36,1083,1
1/10/2025,2020924,NLA_MI-10245,NLA22_MI-10025,7/20/2022,1,MI,PHYX,4008,ACHNANTHIDIUM,DIATOM,5,462.74,14,1
1/10/2025,2021463,NLA_FL-10121,NLA22_FL-10018,8/11/2022,1,FL,PHYX,4008,ACHNANTHIDIUM,DIATOM,20,2169.23,13,1
1/10/2025,2021804,NLA_SD-10366,NLA22_SD-10180,9/20/2022,1,SD,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,582.75,13,1
1/10/2025,2021661,NLA_MN-10167,NLA22_MN-10051,8/31/2022,1,MN,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,66.94,3,1
1/10/2025,2020446,NLA_GA-10057,NLA22_GA-10009,6/15/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,4,2879.73,21,1
1/10/2025,2021509,NLA_MI-10235,NLA22_MI-10015,8/17/2022,1,MI,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,112,4,1
1/10/2025,2021503,NLA_ID-10189,NLA22_ID-10030,8/16/2022,1,ID,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,93.63,3,1
1/10/2025,2021687,NLA_GA-10164,NLA22_GA-10114,9/7/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,487.56,18,1
1/10/2025,2020743,NLA_VT-10045,NLA22_VT-10005,7/8/2022,1,VT,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,144.02,5,1
1/10/2025,2021085,NLA_MT-10345,NLA22_MT-10167,7/29/2022,1,MT,PHYX,4008,ACHNANTHIDIUM,DIATOM,5,123.63,3,1
1/10/2025,2021136,NLA_SD-10228,NLA22_SD-10064,8/3/2022,1,SD,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,164.7,8,1
1/10/2025,2020795,,NES22-10039,7/13/2022,1,,PHYX,4008,ACHNANTHIDIUM,DIATOM,14,84637.39,663,1
1/10/2025,2021411,NLA_GA-10093,NLA22_GA-10026,8/9/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,5,2425.45,45,1
1/10/2025,2020324,NLA_MS-10048,NLA22_MS-10003,6/6/2022,1,MS,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,1474.44,53,1
1/10/2025,2020726,NLA_OK-10231,NLA22_OK-10099,7/6/2022,1,OK,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,320.27,6,1
1/10/2025,2021484,NLA_MT-10359,NLA22_MT-10181,8/14/2022,1,MT,PHYX,4008,ACHNANTHIDIUM,DIATOM,12,2579.36,59,1
1/10/2025,2021167,NLA_MN-10152,NLA22_MN-10011,8/4/2022,1,MN,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,249.04,5,1
1/10/2025,2020912,NLA_TX-10035,NES22-10108,7/19/2022,1,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,3,4183.56,89,1
1/10/2025,2020804,NLA_GA-10120,NLA22_GA-10070,7/13/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,901.99,6,1
1/10/2025,2021087,NLA_MT-10303,NLA22_MT-10125,7/28/2022,1,MT,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,60.36,3,1
1/10/2025,2020659,NLA_MI-10258,NLA22_MI-10112,6/29/2022,1,MI,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,252.26,6,1
1/10/2025,2021727,NLA_WI-10238,NLA22_WI-10113,9/13/2022,1,WI,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,203.59,6,1
1/10/2025,2020443,NLA_IN-10054,NES22-10071,6/15/2022,1,IN,PHYX,4008,ACHNANTHIDIUM,DIATOM,4,19403.61,359,1
1/10/2025,2021640,NLA_OH-10077,NLA22_OH-10020,8/31/2022,1,OH,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,310.52,10,1
1/10/2025,2021616,NLA_IL-10079,NLA22_IL-10028,8/28/2022,1,IL,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,1347.86,27,1
1/10/2025,2021114,NLA_OH-10092,NLA22_OH-10011,8/2/2022,1,OH,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,1542.89,31,1
1/10/2025,2021579,NLA_TX-10325,NLA22_TX-10031,8/24/2022,1,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,13,4211.62,108,1
1/10/2025,2021141,NLA_OR-10279,NLA22_OR-10012,8/3/2022,1,OR,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,78.29,3,1
1/10/2025,2020877,NLA_VT-10025,NLA22_VT-10002,7/19/2022,1,VT,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,1189.82,24,1
1/10/2025,2020715,NLA_NH-10056,NLA22_NH-10026,7/6/2022,1,NH,PHYX,4008,ACHNANTHIDIUM,DIATOM,12,1767.68,39,1
1/10/2025,2020657,NLA_ME-10101,NLA22_ME-10032,6/29/2022,1,ME,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,226.06,10,1
1/10/2025,2020456,NLA_MO-10032,NES22-10145,6/16/2022,1,MO,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,3099.19,57,1
1/10/2025,2020736,NLA_TN-10066,NLA22_TN-10024,7/7/2022,1,TN,PHYX,4008,ACHNANTHIDIUM,DIATOM,6,413.28,6,1
1/10/2025,2020699,NLA_NE-10229,NLA22_NE-10029,6/30/2022,1,NE,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,902.16,26,1
1/10/2025,2021679,NLA_WA-10050,NES22-10203,9/6/2022,1,WA,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,49.83,2,1
1/10/2025,2021531,NLA_GA-10095,NLA22_GA-10028,8/18/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,4,12343.26,195,1
1/10/2025,2020967,NLA_GA-10076,NLA22_GA-10045,7/21/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,3,2020.46,29,1
1/10/2025,2021187,NLA_TX-10215,NLA22_TX-10001,8/7/2022,2,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,7117.52,97,1
1/10/2025,2020641,NLA_TX-10239,NLA22_TX-10025,6/28/2022,1,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,61,136164.43,991,1
1/10/2025,2021523,NLA_MS-10046,NLA22_MS-10001,8/17/2022,2,MS,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,448.38,9,1
1/10/2025,2021164,NLA_GA-10060,NLA22_GA-10012,8/4/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,7,68738.65,749,1
1/10/2025,2020856,NLA_TX-10254,NLA22_TX-10065,7/18/2022,1,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,2073.65,47,1
1/10/2025,2020504,NLA_NY-10036,NLA22_NY-10002,6/21/2022,1,NY,PHYX,4008,ACHNANTHIDIUM,DIATOM,20,6365.26,147,1
1/10/2025,2021567,NLA_CA-10227,NLA22_CA-10030,8/22/2022,1,CA,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,20.86,1,1
1/10/2025,2020339,NLA_WI-10230,NLA22_WI-10105,6/7/2022,1,WI,PHYX,4008,ACHNANTHIDIUM,DIATOM,4,13714.63,65,1
1/10/2025,2020616,NLA_LA-10584,NLA22_LA-10448,6/26/2022,1,LA,PHYX,4008,ACHNANTHIDIUM,DIATOM,4,390.47,10,1
1/10/2025,2020722,NLA_GA-10146,NLA22_GA-10096,7/6/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,9,3013.46,61,1
1/10/2025,2020785,,NES22-10022,7/11/2022,1,,PHYX,4008,ACHNANTHIDIUM,DIATOM,10,4008.41,83,1
1/10/2025,2021036,NLA_OK-10244,NLA22_OK-10112,7/27/2022,1,OK,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,187.57,6,1
1/10/2025,2020556,NLA_NE-10024,NES22-10139,6/22/2022,1,NE,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,539.68,12,1
1/10/2025,2021722,NLA_AR-10036,NLA22_AR-10011,9/12/2022,2,AR,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,3587.13,79,1
1/10/2025,2021479,NLA_SC-10069,NLA22_SC-10034,8/15/2022,1,SC,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,5785.85,56,1
1/10/2025,2021459,NLA_ND-10260,NLA22_ND-10032,8/11/2022,1,ND,PHYX,4008,ACHNANTHIDIUM,DIATOM,33,4143.46,105,1
1/10/2025,2020949,NLA_VT-10049,NLA22_VT-10014,7/21/2022,1,VT,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,337.11,7,1
1/10/2025,2020845,NLA_MI-10283,NLA22_MI-10137,7/15/2022,1,MI,PHYX,4008,ACHNANTHIDIUM,DIATOM,7,2524.83,47,1
1/10/2025,2020618,NLA_ME-10077,NLA22_ME-10018,6/27/2022,1,ME,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,453.09,9,1
1/10/2025,2020907,NLA_SC-10040,NLA22_SC-10011,7/19/2022,1,SC,PHYX,4008,ACHNANTHIDIUM,DIATOM,3,282.68,10,1
1/10/2025,2021735,NLA_MI-10184,NLA22_MI-10054,9/14/2022,1,MI,PHYX,4008,ACHNANTHIDIUM,DIATOM,4,334.9,12,1
1/10/2025,2020774,NLA_ME-10096,NLA22_ME-10015,7/12/2022,1,ME,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,169.05,3,1
1/10/2025,2020709,NLA_ME-10100,NLA22_ME-10031,7/5/2022,1,ME,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,125.18,5,1
1/10/2025,2020957,NLA_IN-10303,NLA22_IN-10157,7/21/2022,1,IN,PHYX,4008,ACHNANTHIDIUM,DIATOM,11,1358.75,44,1
1/10/2025,2020782,NLA_NC-10003,NES22-10026,7/12/2022,1,NC,PHYX,4008,ACHNANTHIDIUM,DIATOM,85,59987.55,1358,1
1/10/2025,2020905,NLA_SC-10057,NLA22_SC-10018,7/18/2022,1,SC,PHYX,4008,ACHNANTHIDIUM,DIATOM,11,6357.91,86,1
1/10/2025,2021111,NLA_MO-10116,NLA22_MO-10047,7/28/2022,1,MO,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,2523.41,49,1
1/10/2025,2021619,NLA_KS-10085,NLA22_KS-10022,8/29/2022,1,KS,PHYX,4008,ACHNANTHIDIUM,DIATOM,37,44027.74,1448,1
1/10/2025,2020431,NLA_PA-10078,NLA22_PA-10010,6/22/2022,1,PA,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,4016.24,9,1
1/10/2025,2020797,NLA_TX-10339,NLA22_TX-10045,7/13/2022,1,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,29,97100.86,706,1
1/10/2025,2021127,NLA_MT-10333,NLA22_MT-10155,8/2/2022,1,MT,PHYX,4008,ACHNANTHIDIUM,DIATOM,8,233.05,8,1
1/10/2025,2021797,NLA_NY-10090,NLA22_NY-10054,9/20/2022,1,NY,PHYX,4008,ACHNANTHIDIUM,DIATOM,45,2277.87,46,1
1/10/2025,2020836,NLA_SD-10186,NLA22_SD-10001,7/14/2022,2,SD,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,731.01,23,1
1/10/2025,2020751,NLA_ND-10028,NES22-10162,7/10/2022,1,ND,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,1696.27,35,1
1/10/2025,2020968,NLA_KS-10147,NLA22_KS-10071,7/20/2022,1,KS,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,1226.84,35,1
1/10/2025,2021761,NLA_TN-10025,NES22-10014,9/14/2022,1,TN,PHYX,4008,ACHNANTHIDIUM,DIATOM,60,66942.45,1240,1
1/10/2025,2020783,NLA_NC-10009,NES22-10046,7/11/2022,1,NC,PHYX,4008,ACHNANTHIDIUM,DIATOM,22,6256.97,143,1
