PUBLICATION_DATE,TAXA_ID,ALGAL_GROUP,TARGET_TAXON,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES_EPITHET,SPECIES_NAME
1/13/2025,4005,DIATOM,ACHNANTHIDIUM HUNGARICUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,HUNGARICUM,ACHNANTHIDIUM HUNGARICUM
1/13/2025,4006,DIATOM,ACHNANTHIDIUM MINUTISSIMUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,MINUTISSIMUM,ACHNANTHIDIUM MINUTISSIMUM
1/13/2025,4007,DIATOM,ACHNANTHIDIUM RIVULARE,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,RIVULARE,ACHNANTHIDIUM RIVULARE
1/13/2025,4008,DIATOM,ACHNANTHIDIUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,,
1/13/2025,4009,DIATOM,EUCOCCONEIS FLEXELLA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,EUCOCCONEIS,FLEXELLA,EUCOCCONEIS FLEXELLA
1/13/2025,4010,DIATOM,EUCOCCONEIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,EUCOCCONEIS,,
1/13/2025,4011,DIATOM,AMPHIPLEURA PELLUCIDA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,AMPHIPLEURACEAE,AMPHIPLEURA,PELLUCIDA,AMPHIPLEURA PELLUCIDA
1/13/2025,4012,DIATOM,AMPHIPLEURA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,AMPHIPLEURACEAE,AMPHIPLEURA,,
1/13/2025,4013,DIATOM,FRUSTULIA RHOMBOIDES,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,AMPHIPLEURACEAE,FRUSTULIA,RHOMBOIDES,FRUSTULIA RHOMBOIDES
1/13/2025,4014,DIATOM,FRUSTULIA VULGARIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,AMPHIPLEURACEAE,FRUSTULIA,VULGARIS,FRUSTULIA VULGARIS
1/13/2025,4015,DIATOM,FRUSTULIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,AMPHIPLEURACEAE,FRUSTULIA,,
1/13/2025,4016,DIATOM,ANOMOEONEIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,ANOMOEONEIDACEAE,ANOMOEONEIS,,
1/13/2025,4017,DIATOM,AULACOSEIRA ALPIGENA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,AULACOSEIRALES,AULACOSEIRACEAE,AULACOSEIRA,ALPIGENA,AULACOSEIRA ALPIGENA
1/13/2025,4018,DIATOM,AULACOSEIRA AMBIGUA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,AULACOSEIRALES,AULACOSEIRACEAE,AULACOSEIRA,AMBIGUA,AULACOSEIRA AMBIGUA
1/13/2025,4019,DIATOM,AULACOSEIRA GRANULATA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,AULACOSEIRALES,AULACOSEIRACEAE,AULACOSEIRA,GRANULATA,AULACOSEIRA GRANULATA
1/13/2025,4020,DIATOM,AULACOSEIRA ISLANDICA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,AULACOSEIRALES,AULACOSEIRACEAE,AULACOSEIRA,ISLANDICA,AULACOSEIRA ISLANDICA
1/13/2025,4021,DIATOM,AULACOSEIRA ITALICA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,AULACOSEIRALES,AULACOSEIRACEAE,AULACOSEIRA,ITALICA,AULACOSEIRA ITALICA
1/13/2025,4022,DIATOM,AULACOSEIRA SUBARCTICA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,AULACOSEIRALES,AULACOSEIRACEAE,AULACOSEIRA,SUBARCTICA,AULACOSEIRA SUBARCTICA
1/13/2025,4023,DIATOM,AULACOSEIRA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,AULACOSEIRALES,AULACOSEIRACEAE,AULACOSEIRA,,
1/13/2025,4024,DIATOM,BACILLARIA PARADOXA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,BACILLARIA,PARADOXA,BACILLARIA PARADOXA
1/13/2025,4025,DIATOM,BACILLARIA PAXILLIFER,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,BACILLARIA,PAXILLIFER,BACILLARIA PAXILLIFER
1/13/2025,4026,DIATOM,CYLINDROTHECA CLOSTERIUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,CYLINDROTHECA,CLOSTERIUM,CYLINDROTHECA CLOSTERIUM
1/13/2025,4027,DIATOM,CYLINDROTHECA GRACILIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,CYLINDROTHECA,GRACILIS,CYLINDROTHECA GRACILIS
1/13/2025,4028,DIATOM,CYLINDROTHECA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,CYLINDROTHECA,,
1/13/2025,4029,DIATOM,DENTICULA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,DENTICULA,,
1/13/2025,4030,DIATOM,HANTZSCHIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,HANTZSCHIA,,
1/13/2025,4031,DIATOM,NITZSCHIA ACICULARIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,ACICULARIS,NITZSCHIA ACICULARIS
1/13/2025,4032,DIATOM,NITZSCHIA AMBIGUA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,AMBIGUA,NITZSCHIA AMBIGUA
1/13/2025,4033,DIATOM,NITZSCHIA AMPHIBIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,AMPHIBIA,NITZSCHIA AMPHIBIA
1/13/2025,4034,DIATOM,NITZSCHIA CLOSTERIUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,CLOSTERIUM,NITZSCHIA CLOSTERIUM
1/13/2025,4035,DIATOM,NITZSCHIA FRUTICOSA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,FRUTICOSA,NITZSCHIA FRUTICOSA
1/13/2025,4036,DIATOM,NITZSCHIA GRACILIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,GRACILIS,NITZSCHIA GRACILIS
1/13/2025,4037,DIATOM,NITZSCHIA INCONSPICUA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,INCONSPICUA,NITZSCHIA INCONSPICUA
1/13/2025,4038,DIATOM,NITZSCHIA LAEVIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,LAEVIS,NITZSCHIA LAEVIS
1/13/2025,4039,DIATOM,NITZSCHIA LINEARIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,LINEARIS,NITZSCHIA LINEARIS
1/13/2025,4040,DIATOM,NITZSCHIA MICROCEPHALA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,MICROCEPHALA,NITZSCHIA MICROCEPHALA
1/13/2025,4041,DIATOM,NITZSCHIA PALEA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,PALEA,NITZSCHIA PALEA
1/13/2025,4042,DIATOM,NITZSCHIA REVERSA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,REVERSA,NITZSCHIA REVERSA
1/13/2025,4043,DIATOM,NITZSCHIA SIGMOIDEA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,SIGMOIDEA,NITZSCHIA SIGMOIDEA
1/13/2025,4044,DIATOM,NITZSCHIA SINUATA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,SINUATA,NITZSCHIA SINUATA
1/13/2025,4045,DIATOM,NITZSCHIA SUBACICULARIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,SUBACICULARIS,NITZSCHIA SUBACICULARIS
1/13/2025,4046,DIATOM,NITZSCHIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,NITZSCHIA,,
1/13/2025,4047,DIATOM,TRYBLIONELLA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,BACILLARIALES,BACILLARIACEAE,TRYBLIONELLA,,
1/13/2025,4048,DIATOM,BRACHYSIRA NEOEXILIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,BRACHYSIRACEAE,BRACHYSIRA,NEOEXILIS,BRACHYSIRA NEOEXILIS
1/13/2025,4049,DIATOM,BRACHYSIRA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,BRACHYSIRACEAE,BRACHYSIRA,,
1/13/2025,4050,DIATOM,AMPHORA DELICATISSIMA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,THORACOSPHAERALES,THORACOSPHAERACEAE,AMPHORA,DELICATISSIMA,AMPHORA DELICATISSIMA
1/13/2025,4051,DIATOM,AMPHORA LIBYCA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,THORACOSPHAERALES,THORACOSPHAERACEAE,AMPHORA,LIBYCA,AMPHORA LIBYCA
1/13/2025,4052,DIATOM,AMPHORA PEDICULUS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,THORACOSPHAERALES,THORACOSPHAERACEAE,AMPHORA,PEDICULUS,AMPHORA PEDICULUS
1/13/2025,4053,DIATOM,AMPHORA PELLUCIDA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,THORACOSPHAERALES,THORACOSPHAERACEAE,AMPHORA,PELLUCIDA,AMPHORA PELLUCIDA
1/13/2025,4054,DIATOM,AMPHORA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,THORACOSPHAERALES,THORACOSPHAERACEAE,AMPHORA,,
1/13/2025,4055,DIATOM,CHAETOCEROS,HETEROKONTOPHYTA,MEDIOPHYCEAE,CHAETOCEROTALES,CHAETOCEROTACAEA,CHAETOCEROS,,
1/13/2025,4056,DIATOM,CYMBELLA LANCEOLATA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,CYMBELLACEAE,CYMBELLA,LANCEOLATA,CYMBELLA LANCEOLATA
1/13/2025,4057,DIATOM,CYMBELLA LEPTOCEROS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,CYMBELLACEAE,CYMBELLA,LEPTOCEROS,CYMBELLA LEPTOCEROS
1/13/2025,4058,DIATOM,CYMBELLA MICROCEPHALA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,CYMBELLACEAE,CYMBELLA,MICROCEPHALA,CYMBELLA MICROCEPHALA
1/13/2025,4059,DIATOM,CYMBELLA TURGIDULA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,CYMBELLACEAE,CYMBELLA,TURGIDULA,CYMBELLA TURGIDULA
1/13/2025,4060,DIATOM,CYMBELLA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,CYMBELLACEAE,CYMBELLA,,
1/13/2025,4061,DIATOM,DIADESMIS CONTENTA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,DIADESMIDACEAE,DIADESMIS,CONTENTA,DIADESMIS CONTENTA
1/13/2025,4062,DIATOM,DIADESMIS PERPUSILLA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,DIADESMIDACEAE,DIADESMIS,PERPUSILLA,DIADESMIS PERPUSILLA
1/13/2025,4063,DIATOM,CTENOPHORA PULCHELLA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,LICMOPHORALES,ULNARIACEAE,CTENOPHORA,PULCHELLA,CTENOPHORA PULCHELLA
1/13/2025,4064,DIATOM,DIATOMA MESODON,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,RHABDONEMATALES,TABELLARIACEAE,DIATOMA,MESODON,DIATOMA MESODON
1/13/2025,4065,DIATOM,DIATOMA MONILIFORMIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,RHABDONEMATALES,TABELLARIACEAE,DIATOMA,MONILIFORMIS,DIATOMA MONILIFORMIS
1/13/2025,4066,DIATOM,DIATOMA TENUE,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,RHABDONEMATALES,TABELLARIACEAE,DIATOMA,TENUE,DIATOMA TENUE
1/13/2025,4068,DIATOM,DIATOMA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,RHABDONEMATALES,TABELLARIACEAE,DIATOMA,,
1/13/2025,4069,DIATOM,EUNOTIA BILUNARIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,EUNOTIALES,EUNOTIACEAE,EUNOTIA,BILUNARIS,EUNOTIA BILUNARIS
1/13/2025,4070,DIATOM,EUNOTIA FORMICA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,EUNOTIALES,EUNOTIACEAE,EUNOTIA,FORMICA,EUNOTIA FORMICA
1/13/2025,4071,DIATOM,EUNOTIA PECTINALIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,EUNOTIALES,EUNOTIACEAE,EUNOTIA,PECTINALIS,EUNOTIA PECTINALIS
1/13/2025,4072,DIATOM,EUNOTIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,EUNOTIALES,EUNOTIACEAE,EUNOTIA,,
1/13/2025,4073,DIATOM,FRAGILARIA CAPUCINA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIA,CAPUCINA,FRAGILARIA CAPUCINA
1/13/2025,4074,DIATOM,FRAGILARIA CONSTRUENS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIA,CONSTRUENS,FRAGILARIA CONSTRUENS
1/13/2025,4075,DIATOM,FRAGILARIA CROTONENSIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIA,CROTONENSIS,FRAGILARIA CROTONENSIS
1/13/2025,4076,DIATOM,FRAGILARIA GOULARDII,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIA,GOULARDII,FRAGILARIA GOULARDII
1/13/2025,4077,DIATOM,FRAGILARIA MESOLEPTA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIA,MESOLEPTA,FRAGILARIA MESOLEPTA
1/13/2025,4078,DIATOM,FRAGILARIA VAUCHERIAE,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIA,VAUCHERIAE,FRAGILARIA VAUCHERIAE
1/13/2025,4079,DIATOM,FRAGILARIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIA,,
1/13/2025,4080,DIATOM,FRAGILARIFORMA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,FRAGILARIFORMA,,
1/13/2025,4081,DIATOM,MERIDION ANCEPS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,RHABDONEMATALES,TABELLARIACEAE,MERIDION,ANCEPS,MERIDION ANCEPS
1/13/2025,4082,DIATOM,MERIDION CIRCULARE,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,RHABDONEMATALES,TABELLARIACEAE,MERIDION,CIRCULARE,MERIDION CIRCULARE
1/13/2025,4083,DIATOM,MERIDION,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,RHABDONEMATALES,TABELLARIACEAE,MERIDION,,
1/13/2025,4084,DIATOM,PSEUDOSTAUROSIRA BREVISTRIATA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,STAUROSIRACEAE,PSEUDOSTAUROSIRA,BREVISTRIATA,PSEUDOSTAUROSIRA BREVISTRIATA
1/13/2025,4085,DIATOM,PSEUDOSTAUROSIRA PARASITICA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,STAUROSIRACEAE,PSEUDOSTAUROSIRA,PARASITICA,PSEUDOSTAUROSIRA PARASITICA
1/13/2025,4086,DIATOM,PSEUDOSTAUROSIRA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,STAUROSIRACEAE,PSEUDOSTAUROSIRA,,
1/13/2025,4087,DIATOM,STAUROSIRA CONSTRUENS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,STAUROSIRACEAE,STAUROSIRA,CONSTRUENS,STAUROSIRA CONSTRUENS
1/13/2025,4088,DIATOM,STAUROSIRA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,STAUROSIRACEAE,STAUROSIRA,,
1/13/2025,4089,DIATOM,STAUROSIRELLA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,STAUROSIRACEAE,STAUROSIRELLA,,
1/13/2025,4090,DIATOM,SYNEDRA CAPITATA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,SYNEDRA,CAPITATA,SYNEDRA CAPITATA
1/13/2025,4091,DIATOM,SYNEDRA CYCLOPUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,SYNEDRA,CYCLOPUM,SYNEDRA CYCLOPUM
1/13/2025,4092,DIATOM,SYNEDRA DELICATISSIMA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,SYNEDRA,DELICATISSIMA,SYNEDRA DELICATISSIMA
1/13/2025,4093,DIATOM,SYNEDRA TENERA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,SYNEDRA,TENERA,SYNEDRA TENERA
1/13/2025,4094,DIATOM,SYNEDRA ULNA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,SYNEDRA,ULNA,SYNEDRA ULNA
1/13/2025,4095,DIATOM,SYNEDRA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,FRAGILARIALES,FRAGILARIACEAE,SYNEDRA,,
1/13/2025,4096,DIATOM,GOMPHONEIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEIS,,
1/13/2025,4097,DIATOM,GOMPHONEMA ACUMINATUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,ACUMINATUM,GOMPHONEMA ACUMINATUM
1/13/2025,4098,DIATOM,GOMPHONEMA ANGUSTUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,ANGUSTUM,GOMPHONEMA ANGUSTUM
1/13/2025,4099,DIATOM,GOMPHONEMA APICATUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,APICATUM,GOMPHONEMA APICATUM
1/13/2025,4100,DIATOM,GOMPHONEMA AUGUR,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,AUGUR,GOMPHONEMA AUGUR
1/13/2025,4101,DIATOM,GOMPHONEMA CLAVATUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,CLAVATUM,GOMPHONEMA CLAVATUM
1/13/2025,4102,DIATOM,GOMPHONEMA CORONATUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,CORONATUM,GOMPHONEMA CORONATUM
1/13/2025,4103,DIATOM,GOMPHONEMA GRACILE,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,GRACILE,GOMPHONEMA GRACILE
1/13/2025,4104,DIATOM,GOMPHONEMA MINUTUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,MINUTUM,GOMPHONEMA MINUTUM
1/13/2025,4105,DIATOM,GOMPHONEMA PARVULUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,PARVULUM,GOMPHONEMA PARVULUM
1/13/2025,4106,DIATOM,GOMPHONEMA TRUNCATUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,TRUNCATUM,GOMPHONEMA TRUNCATUM
1/13/2025,4107,DIATOM,GOMPHONEMA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,GOMPHONEMA,,
1/13/2025,4108,DIATOM,GOMPHOSPHENIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,RHOICOSPHENIACEAE,GOMPHOSPHENIA,,
1/13/2025,4109,DIATOM,ACTINOCYCLUS,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,COSCINODISCALES,HEMIDISCACEAE,ACTINOCYCLUS,,
1/13/2025,4110,DIATOM,ANEUMASTUS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,MASTOGLOIALES,MASTOGLOIACEAE,ANEUMASTUS,,
1/13/2025,4111,DIATOM,MASTOGLOIA SMITHII,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,MASTOGLOIALES,MASTOGLOIACEAE,MASTOGLOIA,SMITHII,MASTOGLOIA SMITHII
1/13/2025,4112,DIATOM,MASTOGLOIA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,MASTOGLOIALES,MASTOGLOIACEAE,MASTOGLOIA,,
1/13/2025,4113,DIATOM,MELOSIRA VARIANS,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,MELOSIRALES,MELOSIRACEAE,MELOSIRA,VARIANS,MELOSIRA VARIANS
1/13/2025,4114,DIATOM,MELOSIRA,HETEROKONTOPHYTA,COSCINODISCOPHYCEAE,MELOSIRALES,MELOSIRACEAE,MELOSIRA,,
1/13/2025,4115,DIATOM,AMPHIPRORA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,AMPHIPLEURACEAE,AMPHIPRORA,,
1/13/2025,4116,DIATOM,DIPLONEIS ELLIPTICA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,DIPLONEIDACEAE,DIPLONEIS,ELLIPTICA,DIPLONEIS ELLIPTICA
1/13/2025,4117,DIATOM,DIPLONEIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,NAVICULALES,DIPLONEIDACEAE,DIPLONEIS,,
1/13/2025,4118,DIATOM,ENCYONEMA MINUTUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,CYMBELLALES,GOMPHONEMATACEAE,ENCYONEMA,MINUTUM,ENCYONEMA MINUTUM
